Volume (m3)	Temperature (C)
0.000815	355.478938
0.000906	424.567811
0.000127	390.729864
0.000913	353.261854
0.000632	373.982004
0.000098	320.110288
0.000278	413.465825
0.000547	430.111165
0.000958	469.458148
0.000965	348.984536
0.000158	305.287250
0.000971	429.179971
0.000957	469.742003
0.000485	379.562666
0.000800	486.126284
0.000142	352.781486
0.000422	356.451861
0.000916	435.833278
0.000792	396.204611
0.000959	462.302988
0.000656	487.097727
0.000036	308.719526
0.000849	338.940925
0.000934	351.094981
0.000679	383.117819
0.000758	397.522378
0.000743	436.073209
0.000392	371.661605
0.000655	341.951329
0.000171	372.913738
0.000706	486.358943
0.000032	420.964697
0.000277	376.722179
0.000046	487.665503
0.000097	495.031374
0.000823	492.794988
0.000695	351.591051
0.000317	374.716145
0.000950	404.854635
0.000034	356.965786
0.000439	358.434944
0.000382	412.705589
0.000766	335.740830
0.000795	463.425947
0.000187	349.102599
0.000490	347.501154
0.000446	354.717746
0.000646	465.007004
0.000709	460.656953
0.000755	449.686953
0.000276	476.599720
0.000680	484.584330
0.000655	475.768172
0.000163	371.344987
0.000119	397.356834
0.000498	363.478798
0.000960	335.956131
0.000340	316.824036
0.000585	350.125440
0.000224	427.328438
0.000751	376.000583
0.000255	467.116641
0.000506	478.287257
0.000699	462.974777
0.000891	439.642590
0.000959	471.718924
0.000547	408.517221
0.000139	454.261656
0.000149	416.603436
0.000258	490.147002
0.000841	454.704090
0.000254	455.330643
0.000814	357.535595
0.000244	388.194195
0.000929	481.234644
0.000350	365.495997
0.000197	388.923472
0.000251	395.905340
0.000616	447.046143
0.000473	303.013744
0.000352	314.127570
0.000831	439.532184
0.000585	367.724461
0.000550	497.930347
0.000917	313.641190
0.000286	460.964580
0.000757	427.371043
0.000754	490.065646
0.000380	348.793526
0.000568	336.222436
0.000076	357.325801
0.000054	463.921912
0.000531	350.520488
0.000779	416.234420
0.000934	457.229279
0.000130	420.541305
0.000569	498.819893
0.000469	379.355862
0.000012	357.807696
0.000337	359.655143
0.000162	412.759283
0.000794	321.798967
0.000311	351.541879
0.000529	365.737628
0.000166	361.952560
0.000602	349.419271
0.000263	325.492322
0.000654	307.013678
0.000689	423.929187
0.000748	447.941387
0.000451	322.906143
0.000084	432.991684
0.000229	313.707847
0.000913	469.096047
0.000152	332.054339
0.000826	452.039593
0.000538	350.563333
0.000996	367.698111
0.000078	474.608076
0.000443	451.696348
0.000107	312.284101
0.000962	463.309706
0.000005	417.228641
0.000775	361.978704
0.000817	323.802256
0.000869	442.370031
0.000084	360.127690
0.000400	369.845855
0.000260	346.660577
0.000800	439.698294
0.000431	441.504960
0.000911	418.301884
0.000182	488.321323
0.000264	331.509110
0.000146	448.555140
0.000136	320.690706
0.000869	461.926480
0.000580	420.523139
0.000550	428.088830
0.000145	320.408604
0.000853	469.853382
0.000622	373.463837
0.000351	411.450531
0.000513	453.973499
0.000402	390.388620
0.000076	329.561792
0.000240	354.549285
0.000123	330.674348
0.000184	461.301275
0.000240	410.018699
0.000417	366.657799
0.000050	314.087518
0.000903	309.626125
0.000945	389.373935
0.000491	315.548289
0.000489	454.381994
0.000338	349.213741
0.000900	336.239444
0.000369	407.689057
0.000111	476.928719
0.000780	450.823584
0.000390	482.065040
0.000242	337.984156
0.000404	321.261719
0.000096	425.962836
0.000132	491.506696
0.000942	439.109830
0.000956	477.184975
0.000575	316.833725
0.000060	468.257596
0.000235	305.100847
0.000353	444.869730
0.000821	355.756435
0.000015	489.399179
0.000043	424.616599
0.000169	394.976989
0.000649	428.094576
0.000732	479.127509
0.000648	367.521672
0.000451	303.426415
0.000547	300.900641
0.000296	387.679470
0.000745	440.881426
0.000189	345.080947
0.000687	480.620171
0.000184	302.908676
0.000368	338.159672
0.000626	442.101905
0.000780	452.789243
0.000081	340.556152
0.000929	486.362861
0.000776	379.403369
0.000487	330.569210
0.000436	440.346048
0.000447	419.997978
0.000306	342.260770
0.000509	369.343176
0.000511	478.432704
0.000818	428.677108
0.000795	496.868051
0.000644	418.810282
0.000379	448.743995
0.000812	485.609478
0.000533	499.561430
0.000351	399.931690
0.000939	385.436742
0.000876	458.061170
0.000550	470.383052
0.000622	498.853965
0.000587	356.837923
0.000208	323.287021
0.000301	454.823968
0.000471	445.745430
0.000230	395.413865
0.000844	318.887879
0.000195	378.333434
0.000226	304.888327
0.000171	379.394858
0.000228	411.730379
0.000436	385.701769
0.000311	379.215162
0.000923	425.944067
0.000430	404.003539
0.000185	455.482159
0.000905	433.863110
0.000980	302.098922
0.000439	374.907761
0.000111	498.664902
0.000258	481.623851
0.000409	420.624218
0.000595	369.681061
0.000262	402.667913
0.000603	369.041710
0.000711	485.080281
0.000222	476.028264
0.000117	407.648640
0.000297	479.187646
0.000319	494.759753
0.000424	346.190072
0.000508	337.026137
0.000086	363.245952
0.000262	302.512242
0.000801	456.884608
0.000029	369.921779
0.000929	417.097658
0.000730	448.931130
0.000489	331.747231
0.000579	351.166529
0.000237	471.146843
0.000459	333.854804
0.000963	468.152204
0.000547	449.220463
0.000521	387.426536
0.000232	388.240127
0.000489	479.657307
0.000624	421.982239
